# submitted_item	validated_id	current_symbol
Q9VGH0	FBgn0037958	CG6962
A1ZAP7	FBgn0034187	CG6967
Q9VSK4	FBgn0035896	CG6983
Q7K1C3	FBgn0034191	CG6984
Q9VCU8	FBgn0039017	CG6985
Q8SY39	FBgn0052344	CG32344
Q7K1P7	FBgn0039229	Saf-B
Q9VC28	FBgn0039233	CG7006
Q9VDD9	FBgn0038861	Trm7-34
Q9VUM3	FBgn0036489	CG7011
Q8IMZ7	unknown ID	-
A4V464	unknown ID	-
Q9W389	FBgn0030088	Arfrp1
Q8SZQ6	FBgn0038854	CG7044
Q9VCZ8	FBgn0038976	Pfdn5
Q8T058	FBgn0035102	CG7049
Q9VD02	FBgn0038972	CG7054
Q7YZA2	FBgn0030091	CG7065
Q8SXS0	FBgn0260467	CG7071
Q9VSH9	FBgn0035877	CG7083
Q9VG14	FBgn0038099	CG7091
A1ZBH7	FBgn0263395	hppy
Q8MSF4	FBgn0031961	CG7102
A8JNN5	FBgn0035879	GAPcenA
Q9XZ28	FBgn0027515	CG7115
Q9VNW1	FBgn0037150	CG7133
Q7K2B0	FBgn0034422	CG7137
Q8T3P0	FBgn0037138	P5CDh1
Q9VLX2	FBgn0031947	CG7154
Q9VP13	FBgn0037102	CRIF
Q9VEB4	FBgn0038584	mTerf5
Q9VP17	unknown ID	-
Q9VSI1	FBgn0035878	CG7182
Q9VSH4	FBgn0035872	Cpsf6
Q9VWY7	FBgn0030894	Mvb12
Q2XYK6	FBgn0035866	Arl5
Q9VJ97	FBgn0032671	JMJD4
Q7KSE0	FBgn0038575	CG7208
Q9VEC8	FBgn0038571	CG7215
Q9VLU4	FBgn0031973	Spn28Dc
Q8T972	FBgn0033544	CG7220
Q9VLU6	FBgn0031971	Sirup
Q8IPH1	unknown ID	-
Q95S90	FBgn0031740	CG7239
Q9W397	FBgn0030081	CG7246
Q2PDY3	FBgn0036493	CG7255
Q9VTQ9	FBgn0036224	Rpt4R
Q7KN66	FBgn0027509	TBCD
Q9VFE7	FBgn0038274	Nup93-2
Q9VFE9	FBgn0038272	Dph2
Q9VUN7	FBgn0036500	CG7275
Q9VMQ5	FBgn0031713	Coq6
Q9VWP4	FBgn0030966	shop
Q9VWP1	FBgn0030969	Usp39
Q9VQ60	FBgn0031379	CG7289
Q95ST9	FBgn0085430	CG34401
Q8SYA6	FBgn0030968	CG7322
Q9VP46	FBgn0037074	Tbc1d8-9
Q9VWP0	FBgn0030970	CG7326
Q9VW84	FBgn0036942	CG7328
Q9VWN5	FBgn0030973	CG7332
Q0E8U7	FBgn0031374	Wdr62
Q9VP47	FBgn0037073	Tsr1
Q9VTL6	FBgn0036188	CG7339
Q7K121	FBgn0036777	CG7341
Q9VTL1	FBgn0036184	PCID2
Q8IPH0	FBgn0031975	Tg
Q86NL4	FBgn0031710	Vps52
Q9VSF3	FBgn0035853	UbcE2M
Q9VMR0	FBgn0031708	CG7382
Q9VKU2	FBgn0032262	CG7384
B7Z0G3	FBgn0036173	CG7394
B7Z098	FBgn0037135	CG7414
Q9VNX8	FBgn0037135	CG7414
Q9VUQ8	FBgn0036510	SCCRO
Q9VLT8	FBgn0031979	CCDC53
Q9VVL7	FBgn0036762	CG7430
Q8MYV0	FBgn0036927	Gabat
Q8SZU2	FBgn0036763	TrpRS-m
Q9VDU7	FBgn0051216	Naam
Q95TN4	FBgn0032258	Cog4
A1ZBJ2	FBgn0034432	CG7461
Q9VEG8	FBgn0051249	CG31249
Q9VVJ7	FBgn0036745	CG7484
Q9VG07	FBgn0038106	CG7488
Q95SS8	FBgn0035805	CG7506
Q8INH9	FBgn0038108	CG7518
Q9VP29	FBgn0037087	CG7519
Q9VFG7	FBgn0038256	CG7530
B7Z0D3	FBgn0035793	CG7546
Q7K3F6	FBgn0035793	CG7546
Q9VSD8	FBgn0035839	CG7550
Q9VWL4	FBgn0030990	CG7556
Q9VVI1	FBgn0036734	CG7564
Q9VVH5	FBgn0036728	UQCR-Q
Q9VAI4	FBgn0039687	Naa40
Q8T9E1	unknown ID	-
Q9XZ12	FBgn0064766	CG7600
Q9Y140	FBgn0027583	CG7601
Q9VVH3	FBgn0036726	QIL1
Q86BR7	FBgn0027518	Wdr24
Q7K0L4	FBgn0037094	CG7611
Q8T9B4	FBgn0032026	CG7627
Q9VTG0	FBgn0260795	NaPi-III
Q9VVG5	FBgn0040793	CG7630
Q9VP50	FBgn0037071	CG7632
Q9V5P6	FBgn0033548	CG7637
Q9VTF5	FBgn0036133	CG7638
Q9V784	FBgn0033989	CG7639
Q8IQM4	unknown ID	-
Q8IQU9	unknown ID	-
Q961E1	unknown ID	-
Q8SYC6	FBgn0038609	Nup43
Q8T0J5	FBgn0038610	CG7675
Q9VE71	FBgn0038619	CG7685
Q7KN79	FBgn0027525	LTV1
Q9VE61	FBgn0038627	CG7694
Q9VE51	FBgn0261065	Cpsf73
Q9VE49	FBgn0038638	CG7702
Q5U1C6	FBgn0286828	dind
Q8T0F3	FBgn0038640	CG7706
Q7JZK1	FBgn0033570	ND-B14
Q8SYL0	FBgn0038649	CG7718
Q9VVC9	FBgn0036686	CG7728
Q9VVD3	FBgn0036689	CG7730
Q7K4C2	FBgn0033584	CG7737
Q9VUQ7	FBgn0036509	CG7739
P82295	FBgn0026189	promL
A1Z8J0	FBgn0033615	CG7741
A1ZBL2	FBgn0034447	CG7744
Q7K231	FBgn0034109	CG7747
Q8MRG6	FBgn0036915	Prp3
Q6IDE0	FBgn0030087	CG7766
Q9VW56	FBgn0036918	Pfdn6
Q9VX02	FBgn0030883	CG7772
A1Z8L8	FBgn0033635	Prip
Q9VLN8	FBgn0032025	CG7778
Q9VLP3	FBgn0032020	strat
Q9VAG9	FBgn0039698	CG7789
A1Z6H6	FBgn0033038	CG7791
Q5U162	FBgn0037552	CG7800
Q9VLP5	FBgn0032018	CG7806
Q9VAF0	FBgn0039714	Zip99C
Q9VLP7	FBgn0032016	Mettl14
Q9VTE9	FBgn0261112	APP-BP1
Q8SY53	FBgn0032015	Ostgamma
Q0KHZ6	FBgn0039697	CG7834
Q8MSS0	FBgn0036124	CG7839
Q8MR21	unknown ID	-
Q8T3L6	FBgn0036691	beg
Q9V9K7-1	unknown ID	-
Q7K4B2	FBgn0284246	l(2)k09848
Q8MRW3	FBgn0026738	CG7857
Q9VXT7	FBgn0030653	CG7860
A1Z6J4	unknown ID	-
Q9VLQ1	FBgn0261020	wol
Q9VXT2	FBgn0030658	CG7872
Q7K4L8	FBgn0037549	CG7878
Q8T3I6	FBgn0035235	CG7879
Q7YTZ0	FBgn0036116	CG7888
Q8SYQ1	FBgn0031003	CG7889
Q9VAC4	FBgn0039735	Nph
Q8IMJ8	unknown ID	-
Q7K483	FBgn0039741	CG7943
Q8MQK5	FBgn0036505	CG7945
Q9VAA9	FBgn0039743	Jasper
Q9VTC4	FBgn0036107	galla-2
Q9VAA6	FBgn0260468	CG7950
Q7KVA9	FBgn0035244	ABCB7
Q0KI33	FBgn0038890	CG7956
Q7K537	FBgn0038115	CG7966
Q9W0B3	FBgn0035251	Vta1
Q9W0B2	FBgn0035252	CG7970
A8JNI2	FBgn0035253	Srrm234
Q9VSE8	FBgn0035848	Uxs
Q29R10	FBgn0038244	CG7987
Q9VEB3	FBgn0038585	Non3
Q7K127	FBgn0034117	CG7997
Q9VEB1	FBgn0262559	Mdh2
Q8SX92	FBgn0035268	CG8001
Q9VTB0	FBgn0036096	CG8003
Q9VW58	FBgn0036920	CG8004
Q9VSF4	FBgn0035854	CG8005
Q9VHP3	FBgn0037602	SLIRP2
A1Z7S4	FBgn0033391	CG8026
Q7JR49	FBgn0262515	VhaAC45
Q9VG04	FBgn0038110	CG8031
Q9VHN8	FBgn0037606	CG8032
Q7KSU6	FBgn0037607	CG8036
Q8MSA7	FBgn0035831	Pop4
Q8IQ93	unknown ID	-
Q9VHN4	FBgn0037610	CG8043
Q961H2	FBgn0050344	CG30344
A1Z7Q7	FBgn0033382	Hydr1
Q9VE98	FBgn0038597	CG8064
Q7K1S1	FBgn0033891	CG8067
Q7JWW5	FBgn0033375	CG8078
Q7JW73	FBgn0033373	CG8080
Q3ZAN1	FBgn0033995	GPHR
Q5U156	FBgn0033998	row
Q9VSB9	FBgn0035825	CG8111
Q8MYW9	FBgn0037612	CG8112
Q9VHN0	FBgn0037614	TMEM216
Q9VHE4	FBgn0037687	CG8132
Q9VX15	FBgn0030871	CG8142
Q9VHC8	FBgn0037700	CG8149
Q9VHC5	FBgn0037703	JHDM2
Q9VX24	FBgn0030864	CG8173
Q6AWD5	FBgn0037702	CG8176
Q7KUD6	FBgn0036043	Ae2
Q7K3C2	FBgn0034021	CG8180
Q8T3L0	FBgn0030674	HUWE1
Q7K4H1	FBgn0050467	CG30467
Q7K1W5	FBgn0034027	CG8187
Q9VX25	FBgn0030863	CG8188
Q9V521	FBgn0033367	PPO2
Q9VHB8	FBgn0037709	CG8199
Q9VHM2	FBgn0037622	CG8202
A1ZA28	FBgn0034033	CG8204
Q8SXU3	FBgn0034035	CG8207
Q8SYN6	FBgn0035830	CG8209
Q9VX31	FBgn0030858	IntS2
Q7JVA5	FBgn0266708	Cep89
Q9I7K6	FBgn0037624	CG8223
Q9VHB5	FBgn0261049	Vps45
Q7KNA0	FBgn0027607	CG8230
A1Z7K9	FBgn0033352	PAN2
A1Z9L0	FBgn0033897	Rcd1
A1Z7K8	FBgn0033351	AIMP1
Q7JXC6	FBgn0033350	CG8237
Q9VXQ3	FBgn0030683	Mvd
A1Z7K6	FBgn0033349	CG8243
Q7K3P0	FBgn0033900	CysRS-m
Q7K3J0	FBgn0284436	CCT8
Q9VRX1	FBgn0035703	CG8270
A1Z8R2	FBgn0026573	ADD1
Q7JXE1	FBgn0034050	bug
Q9W3S3	FBgn0029937	CG8300
A1ZAI3	FBgn0034143	CG8303
Q960W6	FBgn0034142	CG8306
Q7JZE1	FBgn0034058	Pex11
A1ZA77	FBgn0034059	CG8320
A1Z9M2	FBgn0033906	ReepB
Q9VW49	FBgn0036913	Usp32
Q9VT21	FBgn0036020	CG8336
Q9VRX7	FBgn0286051	Rexo5
Q9VHK7	FBgn0040532	CG8369
Q9V7H4	FBgn0034060	Tmem131
Q7KSU3	FBgn0037638	CG8379
Q7K1Z5	FBgn0034061	Ufc1
A1ZA83	FBgn0034066	EMC7
Q8MSU3	FBgn0034067	CG8399
Q7K4L9	FBgn0034071	CG8405
A1ZA92	FBgn0034073	CG8414
Q9VH77	FBgn0286506	Mpi
Q9VHG5	FBgn0037670	Ibf1
Q7K1V1	FBgn0034086	CG8441
A1ZAB5	FBgn0034087	clu
Q9VHG4	FBgn0037671	ATP6AP2
B7YZH6	unknown ID	-
B7YZH7	FBgn0265177	CG44242
Q95RV7	FBgn0038129	TBC1D5
Q9VLR8	FBgn0031998	SLC5A11
Q95RR3	unknown ID	-
Q9VLS1-1	unknown ID	-
Q0E8L0	FBgn0264953	Piezo
A1Z8X0	FBgn0033715	CG8490
Q7JUX2	FBgn0033716	Den1
Q7JW61	FBgn0033916	Usp20-33
Q9VLS4	FBgn0031992	Acbp1
Q7K561	FBgn0033917	SmydA-1
Q9VH64	FBgn0037756	CG8507
Q7K4T8	FBgn0033734	CG8520
Q7K209	FBgn0033735	Dera
Q7K0W1	FBgn0033918	CG8531
Q9VFK5	FBgn0038223	Afti
Q8SZR4	FBgn0035791	CG8539
A1Z909	FBgn0033741	CG8545
Q8SXD6	FBgn0035714	CG8549
Q8MQQ8	FBgn0031990	PAPLA1
Q9VX48	FBgn0263706	CG43658
Q7K264	FBgn0033752	CG8569
Q9VXN3	FBgn0030699	CG8578
Q7JZ25	FBgn0033755	ClC-b
Q9VS49	FBgn0264302	CG43780
Q9VS47	FBgn0035763	mrva
Q9VS46	FBgn0035762	Rint1
Q8SZ27	FBgn0035760	CG8607
Q86B47	FBgn0027602	CG8611
Q5BIA9	FBgn0033924	CG8613
A1Z935	FBgn0033762	ZnT49B
Q7JWR9	FBgn0033317	CG8635
Q9VLS8	FBgn0031988	CG8668
A2VEG3	FBgn0032938	CG8671
Q9VX62	FBgn0030834	CG8675
Q9VIE0	FBgn0032934	CG8679
Q9VMU0	FBgn0031684	ND-13A
Q9VLT1-1	unknown ID	-
Q7K519	FBgn0033272	RagC-D
A8DY69	FBgn0263593	Lpin
Q8SXP0	FBgn0263593	Lpin
Q7K3W2	FBgn0033235	CG8728
Q7K2N0	FBgn0033309	Lnpk
Q9VW35	FBgn0261361	CG42638
Q9VW35	FBgn0262516	Trpml
Q8T0N5	FBgn0033769	CG8768
A1Z945	FBgn0033766	Nup188
Q86P55	FBgn0052473	CG32473
Q6NNB2	FBgn0033376	CG8777
A1Z934	FBgn0033761	CG8778
Q9VUB4	FBgn0036397	Nprl3
Q7JY89	FBgn0028955	CG8788
Q95TM6	FBgn0260655	l(3)76BDm
Q7KUT2	FBgn0036892	Lon
Q9V411	FBgn0028473	Non1
Q9VQI6	FBgn0031478	CG8814
Q7JQI1	FBgn0033738	DUBAI
Q9V6B9	FBgn0033737	Nup54
Q7K2E1	FBgn0033717	CG8839
Q0E9B5	FBgn0033713	CG8841
Q9V677	FBgn0033698	CG8858
Q86P98	FBgn0037679	Aduk
Q9VMX4	FBgn0262467	Scox
Q9VMW7	FBgn0031663	CG8891
Q7K4I5	FBgn0031664	CG8892
Q0E910	FBgn0027529	tapas
Q9VXL5	FBgn0030710	CG8924
A1ZBT6	FBgn0034504	CG8929
Q9VXK8	FBgn0030717	Slc25A46a
Q9VXK5	FBgn0030720	CG8939
Q7K581	FBgn0034181	CG8963
Q9VXP1	FBgn0030693	CG8974
Q9V637	FBgn0033669	PI31
Q9W022	FBgn0035334	CG8993
Q7K172	FBgn0034176	ste24a
Q9W020	FBgn0035336	CG9004
Q8T0K2	FBgn0036398	upSET
Q8IP67	FBgn0028540	CG9008
Q8SX50	FBgn0035318	CG9018
Q5U195	unknown ID	-
Q9W380	FBgn0040931	CG9034
Q9VMK9	FBgn0031752	CG9044
Q7KV06	unknown ID	-
Q1LZ08	FBgn0033607	CG9062
Q9V3C5	FBgn0028500	Rich
Q9VXY5	FBgn0030610	CG9065
Q9VXM4	FBgn0030703	MSBP
A1ZAD3	FBgn0034106	CG9068
Q8T010	FBgn0031762	CG9098
Q9VX98	FBgn0030802	DENR
Q9VXA0	FBgn0030800	Nprl2
Q9VMJ1	FBgn0031764	CG9107
Q7K1W8	FBgn0031673	CG31650
Q9VXW5	FBgn0030628	CG9114
Q9VXA8	FBgn0030793	Rai1
Q9VXB0	FBgn0030791	CG9132
Q9VMI5	FBgn0031769	CG9135
Q9W0H9	FBgn0262937	Rabex-5
Q8SXT0	FBgn0031771	ND-51
Q6NQY9	FBgn0034496	CG9143
Q9VMI1	FBgn0031773	Fbw5
Q8T427	FBgn0031774	CG9147
Q8SXL6	FBgn0035203	CG9149
Q8MQN4	FBgn0035207	Herc4
Q9VMH7	FBgn0031777	CG9154
Q9VXK7	FBgn0030718	ND-20
Q95SQ7	FBgn0031779	CG9175
Q9W0H3	FBgn0035206	sturkopf
Q9VXU6	FBgn0267977	mh
Q8IGC7	FBgn0035181	CG9205
Q9VXT5	FBgn0030655	CG9213
Q960H9	unknown ID	-
Q9VW12	FBgn0036887	CG9231
Q8SWT8	FBgn0036428	Gbs-70E
Q0E8N7	unknown ID	-
Q9VIF0	FBgn0032925	CG9246
Q9VIF1	FBgn0032924	Nbr
Q9VIF2	FBgn0032923	Pld3
Q5BIB9	FBgn0032922	Coq3
Q8MRB7	FBgn0032919	CG9253
Q8SZL6	FBgn0032916	CG9257
Q8SYX3	FBgn0032910	CG9265
Q8SYI0	FBgn0032524	Hacd2
Q8T3L4	unknown ID	-
Q9VIH0	FBgn0032907	CG9272
Q7JQV2	FBgn0036882	CG9279
Q8T9H2	FBgn0030672	CG9281
Q9VFR0	FBgn0038183	CG9286
Q9VFR1	FBgn0260464	CG9288
Q8IP71	FBgn0032516	Ing5
Q9VLI9	FBgn0260861	Trs23
Q9VW10	FBgn0036886	CG9300
Q960C0	FBgn0032514	CG9302
Q9VJZ4	FBgn0032511	ND-B22
Q960G3	FBgn0036448	mop
Q9VIK1	FBgn0032880	TM9SF2
Q8MRF0	FBgn0032881	Amacr
Q9VIJ9	FBgn0032882	Ns4
Q8SWT2	FBgn0032883	Rhau
Q8T9H0	FBgn0032886	CG9328
Q8SWU2	FBgn0036888	CG9330
Q7KT11	FBgn0032889	CG9331
Q9VIH9	FBgn0032899	CG9338
Q9W2P5	FBgn0034564	CG9344
Q7JYH3	FBgn0034576	ND-B14.7
Q9VHE3	FBgn0037688	CG9356
Q9VHD3	FBgn0037696	GstZ1
Q8MTV3	FBgn0036893	PIG-F
Q9VP62	FBgn0037064	CG9389
Q7KTW5	FBgn0037063	CG9391
Q9VHB6	FBgn0037710	CG9393
Q9VHB1	FBgn0037715	CG9399
Q0E9N4	FBgn0033092	Rpp25
Q7KUL0	unknown ID	-
Q9VK21	FBgn0032485	CG9426
Q7JVH6	FBgn0033101	CG9436
B7Z080	FBgn0036875	CG9449
Q9VLI1	FBgn0032067	LManIV
Q8SWZ8	FBgn0037749	CG9471
Q7KVP4	FBgn0034618	CG9485
Q86BM0	FBgn0032077	CG9515
Q7K237	FBgn0032078	C1GalTA
Q9VMD5	FBgn0031815	frj
B7Z028	FBgn0031813	CG9527
Q95R65	FBgn0031817	HemK1
Q9VMD2	FBgn0031818	CG9536
Q9VMC6	FBgn0031824	CG9547
Q9VMC8	FBgn0031822	Phf5a
Q9VLF2	FBgn0032089	Rcd-1r
Q9W5W8	FBgn0031092	CG9577
Q9W5W6	FBgn0031094	CG9578
Q9W5W7	FBgn0031093	CG9581
Q8SYU0	FBgn0032101	CG9586
Q9VFS8	FBgn0038166	CG9588
Q8MZD2	FBgn0038361	Uros2
Q960C8	FBgn0038360	CG9590
Q8MS69	FBgn0031832	CG9596
Q8MZ20	FBgn0037578	CG9601
Q9VHS2	FBgn0040529	COX7A
Q2XYI8	FBgn0265101	Sgt1
Q9VHU1	FBgn0037561	CG9630
Q9XZ14	FBgn0027528	goe
Q9VQJ8	FBgn0031485	CG9643
Q9VQP9	FBgn0031529	CG9662
Q8MSW4	FBgn0036856	CG9666
Q9VHV6	FBgn0037550	CG9667
Q7KUQ2	unknown ID	-
Q8MRT0	FBgn0037583	CG9684
Q9W306	FBgn0030160	CG9691
Q9VVA0	FBgn0036661	CG9705
Q95TG1	FBgn0036662	CG9706
Q960D5	FBgn0036668	Zcchc7
Q961J4	FBgn0260935	Vps15
Q9VA94	FBgn0039754	CG9747
Q8T3L8	FBgn0034614	CG9752
Q9W2H9	FBgn0034617	Panx
Q7YZ95	FBgn0037236	Skp2
Q9VHN5	FBgn0037609	CG9773
Q8T0Q2	FBgn0037261	CG9775
Q9VN02	FBgn0037231	Vps24
Q9VXE7	FBgn0030761	CG9784
Q9VN03	FBgn0037232	Suv3
Q95RA9	FBgn0038149	GILT1
Q9VHM3	FBgn0037621	M1BP
Q95T98	FBgn0051523	CG31523
Q960D6	FBgn0038146	CG9799
Q9VHK6	FBgn0037637	IscU
B7YZP6	FBgn0034903	sona
Q9VN19	FBgn0086605	CG9853
Q961R6	FBgn0037242	CG9855
Q9W1V7	FBgn0034814	CG9890
Q9VQF7	FBgn0031453	Bacc
Q95TL8	FBgn0030734	CG9911
Q9VXI1	FBgn0286508	Had1
A8JV07	FBgn0030738	CG9915
Q95SC0	FBgn0030740	CG9917
Q9VXH4	FBgn0030743	CG9921
Q9VFN9	FBgn0038196	CG9922
Q8SY60	FBgn0032472	CG9928
Q8T3I1	FBgn0032467	CG9934
Q9VYA0	FBgn0030512	Nadsyn
Q7JYQ4	FBgn0034527	CG9945
Q8SZM1	FBgn0035726	CG9953
Q6NR07	unknown ID	-
Q9VAU6	FBgn0039589	CG9986
Q9VIW7	FBgn0032781	RtcB
Q86LC8	FBgn0039594	snu
Q8IR15	FBgn0030744	CG9992
Q9NBD7	FBgn0021760	chb
P29742	FBgn0000319	Chc
Q24376	unknown ID	-
O16102	FBgn0023395	Chd3
Q9VZI1	FBgn0035499	Chd64
Q7KKC2	unknown ID	-
O18353	FBgn0013764	Chi
P25843	FBgn0000308	chic
Q9XTN2	FBgn0024248	chico
Q9NK54-1	unknown ID	-
Q86DT5	FBgn0027052	STUB1
Q23997	FBgn0013763	Idgf6
Q95SH2	FBgn0036805	Chmp1
Q9W4K0	FBgn0029709	CHOp24
Q9U4A3	FBgn0029503	mora
Q9V444	FBgn0043002	Chrac-14
Q9V452	FBgn0043001	Chrac-16
Q86BS3	FBgn0044324	Chro
Q9V3C2	FBgn0015372	RabX1
Q9W3V1	FBgn0029913	Cht11
Q9W092	FBgn0022702	Cht2
Q7K1Y4	FBgn0033972	Ciao1
O97428	FBgn0026084	cib
Q9U1H0-1	unknown ID	-
P39205	FBgn0000316	cin
A8JNK4	FBgn0035533	Cip4
Q9V3Z6	FBgn0000317	ck
Q86M30	FBgn0044323	Cka
P54367	FBgn0015024	CkIalpha
A4V2B8	FBgn0264492	CkIIalpha
P08181	FBgn0264492	CkIIalpha
P08182-1	unknown ID	-
Q24152	FBgn0010314	Cks30A
Q9VHN1	FBgn0037613	Cks85A
Q9VMQ9	FBgn0000318	cl
Q9VBX1	FBgn0259152	Clbn
Q9VWA1	FBgn0024814	Clc
Q9VY78	FBgn0030529	Clic
Q9VJE5-1	unknown ID	-
Q24081	unknown ID	-
Q9W2F4	FBgn0000326	clt
O76928	FBgn0000330	cm
Q9NCG0	FBgn0040232	cmet
P49858	FBgn0000339	cni
P54623-1	unknown ID	-
P54623-2	unknown ID	-
Q24279	FBgn0259212	cno
O02393	FBgn0015622	Cnx99A
Q961G1	FBgn0031536	Cog3
Q9VAD6	FBgn0051040	Cog7
A1Z7A8	FBgn0033265	coil
Q9VQG4	FBgn0019830	colt
P46461	FBgn0000346	comt
Q9VN14	FBgn0037240	Cont
Q9V3D2	FBgn0021944	Coprox
Q9VYF8	FBgn0030460	Coq5
Q9TVU0	FBgn0029502	Coq7
Q8MKN0	FBgn0050493	Coq9
Q9V8R9-1	unknown ID	-
Q59E36-1	unknown ID	-
Q59E36-3	unknown ID	-
Q7JVY0	FBgn0265935	coro
Q960N3	FBgn0000351	cort
O96046	FBgn0025865	Cortactin
Q94514	FBgn0019624	COX5A
Q95029-1	unknown ID	-
Q24478	FBgn0000283	Cp190
Q400N2	FBgn0086690	Plp
Q9W2N0	FBgn0034577	cpa
P48603	FBgn0011570	cpb
Q01617-4	unknown ID	-
Q27597	FBgn0015623	Cpr
Q9VSN3	FBgn0052029	Cpr66D
Q9V726-1	unknown ID	-
Q7JQH9	FBgn0261862	whd
O96957	unknown ID	-
P10040-2	unknown ID	-
P29413	FBgn0005585	Calr
O76804	FBgn0025456	CREG
Q9XYM0	FBgn0024811	Crk
Q9N9Z5	FBgn0267384	Ubc7
O76912	FBgn0024973	CG2701
P17886	FBgn0000377	crn
O61360	FBgn0020309	crol
Q86PC0	FBgn0001994	crp
Q27367	FBgn0015924	crq
O76865	FBgn0024994	Ugalt
Q9VKJ4	FBgn0032346	Csl4
Q9VVU5	FBgn0027057	CSN1b
Q8SYG2	FBgn0027055	CSN3
Q9V345	FBgn0027054	CSN4
Q9XZ58	FBgn0027053	CSN5
Q9VCY3	FBgn0028837	CSN6
Q9V4S8	FBgn0028836	CSN7
Q7KTH8	FBgn0261437	CSN8
Q8IMG2	unknown ID	-
Q86NL1	FBgn0027841	CstF64
Q9U6Y9-1	unknown ID	-
P29349-4	unknown ID	-
P25157	FBgn0000384	cta
A4V2S3	FBgn0020496	CtBP
O46036-1	unknown ID	-
O46036-2	unknown ID	-
Q24117	FBgn0011760	ctp
Q95RU0	FBgn0011204	cue
Q9V9R2	FBgn0032956	Cul2
Q5BI50	FBgn0033260	Cul4
Q8SYJ7	FBgn0039632	Cul5
Q9VMA3	FBgn0000392	cup
Q8IQ05	FBgn0015376	cutlet
P14785-1	unknown ID	-
P20439-1	unknown ID	-
Q9I7I0	FBgn0015625	CycB3
P25008	FBgn0004597	CycC
A4V0R4	FBgn0010382	CycE
O17144	FBgn0022936	CycH
Q961D1	FBgn0025674	CycK
O96433-1	unknown ID	-
P25007	FBgn0004432	Cyp1
P82712	FBgn0050489	Cyp12d1-p
Q95078	FBgn0010383	Cyp18a1
Q9VW43	FBgn0036910	Cyp305a1
Q9V3G3	FBgn0028382	cyp33
Q9VL92	FBgn0015035	Cyp4e3
Q9V3S0	FBgn0010019	Cyp4g1
Q9VXY0	FBgn0030615	Cyp4s3
Q9V4U9	FBgn0033304	Cyp6a13
P82711	FBgn0033979	Cyp6a19
Q9V769	FBgn0013773	Cyp6a22
Q9V771	FBgn0033978	Cyp6a23
Q9W0Q2	FBgn0035141	Cypl
P23779	FBgn0004629	Cys
Q9V4N3-1	unknown ID	-
P04657	FBgn0086907	Cyt-c-d
P84029	FBgn0284248	Cyt-c-p
A4V2K7	FBgn0000412	D1
P22058	FBgn0000412	D1
Q8IGD0	FBgn0028833	Cmpk
O61618	FBgn0023388	Dap160
Q9V3T9	FBgn0015582	dare
O02394	unknown ID	-
A1Z7G9	FBgn0033315	beta3GalTII
Q07886	FBgn0010220	Dbp45A
P26802	FBgn0004556	Dbp73D
O61305	FBgn0024804	Dbp80
O76324	FBgn0002413	dco
Q9W1H5	FBgn0034921	DCP1
O02002	FBgn0010501	Dcp-1
Q9VCU9	FBgn0039016	Dcr-1
A1ZAW0	FBgn0034246	Dcr-2
Q9XYZ5	FBgn0260962	pic
Q9VNV3	FBgn0015075	Ddx1
Q24297	FBgn0000426	SmF
Q961P9	unknown ID	-
A1ZAK3	FBgn0026533	Dek
Q7K7G0	FBgn0028969	deltaCOP
Q7K4Y0	FBgn0086687	Desat1
Q9VDW6-3	unknown ID	-
Q9VEM2	FBgn0264291	Det
O16043	FBgn0022893	Df31
A1ZA89	FBgn0034072	Dg
Q0E931	FBgn0027836	Dgp-1
Q9VAF4	FBgn0039710	dgt1
Q9VKD6	FBgn0032390	dgt2
Q9W2P0	FBgn0034569	dgt3
Q7K763	unknown ID	-
Q7K4B4	FBgn0033740	dgt5
Q9VAP2	FBgn0039638	dgt6
Q95RN8	FBgn0040212	Dhap-at
P37276-1	unknown ID	-
P47938	FBgn0011761	dhd
A4V302	unknown ID	-
P17719	FBgn0004087	Dhfr
Q9V3C4	FBgn0011802	Gem3
P32748-1	unknown ID	-
Q9VSU6	FBgn0035964	Dhpr
P48608	FBgn0011202	dia
A1Z6Z8	FBgn0261397	didum
Q8SZ87	FBgn0031601	Dim1
Q9NIH3	FBgn0024807	DIP1
Q9W0S9	FBgn0024806	DIP2
Q9VFQ9	FBgn0000454	Dip-B
Q9VG79	FBgn0000455	Dip-C
Q8MSY2	FBgn0039183	Dis3
Q9VA37	FBgn0039802	dj-1beta
P15330-2	unknown ID	-
Q94524	FBgn0024432	Dlc90F
P31007-5	unknown ID	-
Q8IR93	FBgn0030276	Dlic
Q8T626	FBgn0024510	dlt
Q7K3D8	FBgn0034537	DMAP1
Q7K2D2	FBgn0021825	DCTN2-p50
Q24593	FBgn0023458	Rbcn-3A
Q24133	FBgn0263106	DnaJ-1
P26019	FBgn0259113	DNApol-alpha180
Q24317	FBgn0011762	DNApol-alpha50
Q9VPH2	FBgn0259676	DNApol-alpha60
Q9VB62	FBgn0005696	DNApol-alpha73
P54358	FBgn0263600	DNApol-delta
Q95R46	unknown ID	-
Q9GNC0	unknown ID	-
Q7JYM9	FBgn0000477	DNaseII
Q5KTT4	unknown ID	-
Q24218	FBgn0010583	dock
P54353	FBgn0015379	dod
Q9NDJ2-1	unknown ID	-
Q9VWE0	FBgn0043903	dome
Q24314	FBgn0000482	dor
P25161	FBgn0261396	Rpn3
Q24318-1	unknown ID	-
