# submitted_item	validated_id	current_symbol
Q9VCH9	FBgn0039116	CG10375
Q9VJ61	FBgn0032702	CG10376
Q9VM58	FBgn0031877	Hmgcl
Q9VEZ6	FBgn0038395	CG10407
Q9VI16	FBgn0037440	CRAT
Q9VJ75	FBgn0032689	CG10413
Q7K4Q5	FBgn0033021	CG10417
Q7K0M0	unknown ID	-
Q9VBV5	FBgn0039296	Sil1
Q9VVW8	FBgn0036848	Naxd
Q9VBU5	FBgn0039304	CG10425
Q9VJ34	FBgn0032724	CG10428
Q8SYJ9	FBgn0061361	CG33786
Q8SWV5	FBgn0034494	CG10444
Q8MRT5	FBgn0032819	CG10463
Q9VIS0	FBgn0032822	CG10466
Q8MT28	FBgn0035679	CG10467
Q9VRQ9	FBgn0052412	QC
Q9VJ06	FBgn0032750	CG10495
Q9W2G5	FBgn0034631	TAF1C-like
Q8IPT9	FBgn0037057	CG10512
Q8MR08	FBgn0034583	CG10527
Q9VGK7	FBgn0037926	Elp1
Q5U0Y6	FBgn0030034	CG10555
Q9VP77	FBgn0037051	CG10565
Q9VRP4	FBgn0035632	Ppat-Dpck
Q5U0Z2	FBgn0035630	CG10576
Q9VP84	FBgn0037046	CG10581
Q9VP87	FBgn0037044	Pdss2
Q9VRN1	FBgn0035622	TM9SF3
B7YZX6	FBgn0032717	CG10600
Q7KT44	unknown ID	-
Q9VTX8	FBgn0036286	CG10616
Q9VTZ4	FBgn0036298	nst
Q9I7M2	FBgn0032818	CG10628
B7Z0B0	FBgn0036302	sowah
Q8IGW2	FBgn0051098	CG31098
Q9VRL3	FBgn0035603	Pfdn4
Q8IQH2	FBgn0036290	CG10638
Q95SY9	FBgn0032729	L2HGDH
Q9VJ26	FBgn0032731	Swip-1
Q9VTY5	FBgn0036292	CG10646
Q9VIQ8	FBgn0032833	COX4
Q9VRJ2-2	unknown ID	-
Q9VRJ4	FBgn0035588	CG10672
Q9VRJ6	FBgn0035590	Prpk
Q9VIQ5	FBgn0032836	CG10680
Q9VTZ6	FBgn0036300	Pmm2
Q9VGR1	FBgn0037881	GCC88
Q9VIP0	FBgn0032848	nesd
A1ZAA9	FBgn0034081	CG10731
Q9VU15	FBgn0036314	Sf3a2
Q9W3M7	FBgn0029979	mahe
Q9W3M6	FBgn0029980	CG10778
Q9VN31	FBgn0037255	Fip1
Q9W4R9	FBgn0029664	CG10802
Q9W4R7	FBgn0029666	CG10803
Q9V9P1	FBgn0032972	CG10834
Q9VQ83	FBgn0031395	CG10874
Q9VDL4	FBgn0038804	CG10877
Q95TS8	FBgn0031398	daed
Q9VQ94	FBgn0262126	Sec24CD
Q9VGM4	FBgn0037911	CG10898
Q9VHW6	FBgn0037543	CG10903
Q86BP3	FBgn0037470	Tailor
Q8SZ15	FBgn0034307	CG10914
Q9W3N9	FBgn0029969	CG10932
Q8IQH6	FBgn0036316	CG10960
Q86BS5	FBgn0036309	Hip1
Q95RI2	FBgn0036306	CG10973
Q8I0D5	FBgn0053523	CG33523
Q8I0J6	FBgn0037384	dgrn
Q8IQI3	FBgn0036305	CG10984
Q9VY91	FBgn0030520	Pdcd4
Q9VY87	FBgn0030521	CtsB1
Q8SX57	FBgn0051549	CG31549
Q8IQI0	FBgn0262714	Sap130
Q7JW12	FBgn0034455	CG11007
Q95SE8	FBgn0036318	Wbp2
Q86NN8	FBgn0031830	COX5B
Q9VMM8	FBgn0031735	CG11029
Q960K3	FBgn0037235	CG1103
Q8IGY8	FBgn0031736	CG11030
Q9VMM2	FBgn0031741	CG11034
Q8INS2	unknown ID	-
Q9VI53	FBgn0037465	CG1105
Q9VY77	FBgn0030530	jub
Q7KQM8	FBgn0039929	CG11076
Q95RT1	FBgn0039241	CG11089
Q9VNG2	FBgn0046222	Wdr33
Q9XZ06	FBgn0027537	Nup93-1
Q7K3M5	FBgn0033160	Dhx15
Q8IPS4	FBgn0037200	CG11109
Q8IMU9	unknown ID	-
Q7JX95	FBgn0033169	CG11123
Q7JRM5	FBgn0033178	CG11127
Q7YTZ8	unknown ID	-
Q9VY93	FBgn0030518	CG11134
Q9VNQ3	FBgn0037199	EMC4
Q9VMM9	FBgn0031734	CG11147
Q7KQM6	FBgn0039936	Gyf
Q9VN88	FBgn0037299	Vps37B
Q9VY92	FBgn0030519	CG11151
Q8IPP2	FBgn0037297	CG1116
Q8SYN7	FBgn0030507	CG11164
Q9VYB2	FBgn0030499	CG11178
A1ZBW6	FBgn0034528	CG11180
Q9VM95	FBgn0031851	Aatf
Q9W3G0	FBgn0030035	PIG-T
A8DY67	FBgn0033246	ACC
Q9VZM7	FBgn0035462	IntS10
Q7K0F7	FBgn0034500	CG11200
Q7K3B7	FBgn0034488	Hacl
Q6NP91	FBgn0033259	Tmem63
Q9VN73	FBgn0037290	CG1124
A8E6R2	FBgn0037186	CG11241
A1ZBM2	FBgn0034451	TBCB
Q8T9G3	FBgn0037120	CG11247
Q86NZ5	FBgn0036337	Adk2
